country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
New Zealand,NZL,13882.86,16874.19,21913.71,25420.23,27751.07,26654.59,32479.98,31252.96,28209.36,33676.77,38387.63,39973.38,42976.65,44572.9,38630.73,40058.2,42925.0,43250.44,42865.23
Nicaragua,NIC,1034.55,1000.94,1005.73,1080.27,1162.29,1226.63,1327.95,1499.26,1444.37,1503.87,1655.81,1760.46,1811.64,1934.06,2049.85,2107.57,2159.16,2014.58,1924.47
Niger,NER,208.38,228.24,268.35,286.49,321.72,336.28,390.28,478.5,464.06,476.87,512.6,529.74,552.57,564.6,484.15,500.21,517.77,570.72,554.1
Nigeria,NGA,590.38,741.75,795.39,1007.87,1268.38,1656.42,1883.46,2259.11,1911.61,2280.44,2487.6,2723.82,2961.55,3098.99,2687.48,2176.0,1968.57,2027.78,2229.86
North Macedonia,MKD,1823.02,1989.14,2440.48,2795.9,3072.68,3362.97,4079.39,4841.25,4584.71,4577.69,5098.1,4728.31,5241.06,5495.74,4861.55,5149.59,5450.49,6108.74,6070.39
Northern Mariana Islands,MNP,0.0,21981.78,21379.02,21139.06,18763.15,17714.63,16988.14,17191.19,14669.52,14804.25,13496.75,13736.97,14091.19,15044.94,16314.38,21891.18,27584.74,22886.67,20659.64
Norway,NOR,38542.72,43084.47,50134.89,57603.84,66810.48,74148.32,85139.96,96944.1,79977.7,87693.79,100600.56,101524.14,102913.45,97019.18,74355.52,70460.56,75496.75,82267.81,75719.75
Oman,OMN,8475.97,8626.97,9066.31,10126.14,12377.08,14420.51,15838.47,22139.74,16823.79,21369.35,23837.31,24988.01,23888.63,23017.93,18444.93,16772.74,17329.19,18947.37,17700.7
Pakistan,PAK,544.49,534.3,599.38,687.84,748.92,836.86,908.1,990.85,958.0,987.41,1164.98,1198.12,1208.92,1251.18,1356.67,1540.18,1631.53,1678.04,1481.81
Palau,PLW,8092.21,8307.96,7771.21,8317.11,9626.61,9843.05,10381.42,10598.88,10252.75,10356.63,11094.83,12044.11,12561.34,13711.76,15876.46,16835.99,16019.99,15895.26,15232.49
